Treatment,Locus,Number of alleles,Number of effective alleles,Shannons information,Heterozygosity-obs,Heterozygosity,uHe,Gen,Pop-size,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC1,4,1.572,0.694,0.04,0.364,0.371,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC2,1,1,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC3,3,2.013,0.761,0.52,0.503,0.513,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC4,5,2.026,1.027,0.04,0.506,0.517,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC7,6,2.461,1.216,0.32,0.594,0.606,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC8,3,2.269,0.932,0.36,0.559,0.571,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC9,5,1.944,0.931,0.36,0.486,0.496,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense6,AC12,2,1.083,0.168,0,0.077,0.078,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC1,5,2.446,1.054,0.36,0.591,0.603,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC2,1,1,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC3,2,1.127,0.227,0.12,0.113,0.115,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC4,6,2.626,1.199,0.32,0.619,0.632,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC7,6,3.72,1.482,0.44,0.731,0.746,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC8,3,2.277,0.922,0.36,0.561,0.572,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC9,4,2.809,1.161,0.2,0.644,0.657,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense7,AC12,2,1.95,0.68,0.44,0.487,0.497,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC1,4,1.781,0.816,0,0.438,0.447,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC2,2,1.22,0.325,0.12,0.18,0.184,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC3,3,1.177,0.334,0.12,0.15,0.153,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC4,5,1.403,0.651,0.16,0.287,0.293,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC7,5,3.034,1.314,0.32,0.67,0.684,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC8,3,1.499,0.6,0.32,0.333,0.34,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC9,5,2.626,1.196,0.24,0.619,0.632,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense8,AC12,3,1.177,0.334,0,0.15,0.153,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC1,4,1.66,0.781,0.12,0.398,0.406,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC2,3,1.176,0.324,0.08,0.15,0.153,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC3,4,1.932,0.876,0.44,0.482,0.492,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC4,7,4.252,1.667,0.32,0.765,0.78,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC7,6,2.753,1.277,0.4,0.637,0.65,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC8,3,1.452,0.595,0.12,0.311,0.318,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC9,6,2.14,1.127,0.24,0.533,0.544,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense9,AC12,2,1.471,0.5,0,0.32,0.327,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC1,3,2.599,1.02,0.28,0.615,0.628,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC2,3,2.572,1.018,0.24,0.611,0.624,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC3,3,1.499,0.6,0.16,0.333,0.34,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC4,4,1.669,0.801,0.04,0.401,0.409,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC7,8,4.401,1.675,0.24,0.773,0.789,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC8,4,2.358,1.02,0.32,0.576,0.588,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC9,6,2.358,1.192,0.2,0.576,0.588,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense10,AC12,3,1.788,0.729,0.2,0.441,0.45,1,2,,,,,,,,,,,,,,,,,,,,,,,,
